ticker,quote_date,expiration,days_to_expiry,strike,option_kind,exercise,bid,ask,mid_price,last,spread,relative_spread,volume,open_interest,market_iv,underlying_price,rate,dividend,maturity,moneyness,log_moneyness,maturity_bucket,black_scholes_price,tree_price,rough_price,fair_value,fair_value_source,model_minus_mid,buy_edge,sell_edge,relative_buy_edge,relative_sell_edge,liquidity_pass,signal,signal_confidence
AAPL,2026-05-29,2026-06-19,21,185.0,put,american,0.6088665672765525,0.6288665672765525,0.6188665672765525,0.622304098028639,0.020000000000000018,0.0323171440461133,331.0,1299.0,0.22886648343069696,195.0,0.045,0.006,0.057534246575342465,1.054054054054054,0.05264373348542188,short,0.8674994502930282,0.872496515915371,,0.872496515915371,binomial_tree,0.2536299486388185,0.24362994863881848,-0.2636299486388185,0.3936712072053938,-0.4259883512515071,True,buy_underpriced,0.22175932601629658
AAPL,2026-05-29,2026-08-12,75,220.0,call,american,1.2975088235390246,1.3492875687703902,1.3233981961547074,1.3427725161600443,0.05177874523136561,0.03912559755772297,354.0,1568.0,0.2020010887539167,195.0,0.045,0.006,0.2054794520547945,0.8863636363636364,-0.12062798778861475,short,0.9945373315398527,0.9952819038126657,,0.9952819038126657,binomial_tree,-0.32811629234204176,-0.35400566495772456,0.30222691972635896,-0.2674974667385301,0.22837186918080712,True,sell_overpriced,0.20355190849449262
AAPL,2026-05-29,2026-09-26,120,165.0,put,american,0.8052850988550698,0.84523665201748,0.8252608754362749,0.8178237837406477,0.03995155316241017,0.048410816932633265,353.0,1710.0,0.20631552876246556,195.0,0.045,0.006,0.3287671232876712,1.1818181818181819,0.16705408466316624,short,0.587634956226541,0.5957490820613643,,0.5957490820613643,binomial_tree,-0.22951179337491057,-0.24948756995611565,0.20953601679370548,-0.3023135803260076,0.25390276339337436,True,sell_overpriced,0.18135876748872426
AAPL,2026-05-29,2026-07-13,45,220.0,call,american,0.4380267062007402,0.4580267062007402,0.4480267062007402,0.4448948077354004,0.020000000000000018,0.04464019604902511,318.0,1738.0,0.23758126027148838,195.0,0.045,0.006,0.1232876712328767,0.8863636363636364,-0.12062798778861475,short,0.6475035936422593,0.648035904716446,,0.648035904716446,binomial_tree,0.2000091985157058,0.1900091985157058,-0.21000919851570582,0.42410239364296154,-0.4687425896919867,True,buy_underpriced,0.16644795442443014
AAPL,2026-05-29,2026-09-26,120,215.0,call,american,3.726737015464703,3.8576731111449996,3.792205063304851,3.791391963009104,0.13093609568029674,0.03452769391278325,305.0,1615.0,0.23744675003463353,195.0,0.045,0.006,0.3287671232876712,0.9069767441860465,-0.09763846956391606,short,4.485417869533677,4.486062043515371,,4.486062043515371,binomial_tree,0.6938569802105201,0.6283889323703717,-0.7593250280506685,0.16570541990225074,-0.200233113815034,True,buy_underpriced,0.1498125698520448
AAPL,2026-05-29,2026-07-13,45,200.0,call,american,3.7743947196845165,3.850889903550441,3.812642311617479,3.8258258446607067,0.07649518386592469,0.020063561596858084,406.0,2268.0,0.22658871549322226,195.0,0.045,0.006,0.1232876712328767,0.975,-0.025317807984289897,short,4.434646530913355,4.4368262936861305,,4.4368262936861305,binomial_tree,0.6241839820686517,0.5859363901356893,-0.662431574001614,0.15368249687369995,-0.17374605847055805,True,buy_underpriced,0.14511744620040987
AAPL,2026-05-29,2026-08-12,75,230.0,call,american,0.5368291777069976,0.5632396014959236,0.5500343896014606,0.5439519678006228,0.026410423788925996,0.048015950071889586,251.0,746.0,0.23442852396191227,195.0,0.045,0.006,0.2054794520547945,0.8478260869565217,-0.16507975035944858,short,0.6889404116106324,0.6891453945997829,,0.6891453945997829,binomial_tree,0.1391110049983223,0.1259057931038593,-0.1523162168927853,0.22890531116624743,-0.27692126123813704,True,buy_underpriced,0.10911277567209106
AAPL,2026-05-29,2026-08-12,75,195.0,put,american,6.483153086093059,6.581135248603281,6.53214416734817,6.532104405645585,0.09798216251022218,0.014999999999999944,200.0,2076.0,0.22695463674342847,195.0,0.045,0.006,0.2054794520547945,1.0,0.0,short,7.204862699113988,7.324165949202457,,7.324165949202457,binomial_tree,0.7920217818542872,0.7430307005991761,-0.8410128631093983,0.11374989307696519,-0.12874989307696513,True,buy_underpriced,0.10901031419875833
AAPL,2026-05-29,2026-09-26,120,220.0,call,american,2.845449914070549,2.9590012237004975,2.902225568885523,2.880393841061634,0.11355130962994853,0.03912559755772295,56.0,1321.0,0.23457477024384035,195.0,0.045,0.006,0.3287671232876712,0.8863636363636364,-0.12062798778861475,short,3.3074675175505632,3.3082496716649445,,3.3082496716649445,binomial_tree,0.40602410277942136,0.3492484479644471,-0.4627997575943956,0.12033814728555409,-0.15946374484327705,True,buy_underpriced,0.10725953083684137
AAPL,2026-05-29,2026-08-12,75,185.0,put,american,2.988114771169825,3.0653838881219246,3.0267493296458747,3.0345795857595683,0.07726911695209981,0.02552874669708449,323.0,1476.0,0.2009733154402113,195.0,0.045,0.006,0.2054794520547945,1.054054054054054,0.05264373348542188,short,2.603332640298973,2.639519166284861,,2.639519166284861,binomial_tree,-0.3872301633610138,-0.4258647218370637,0.3485956048849639,-0.14070036050421436,0.11517161380712987,True,sell_overpriced,0.10700442781941694
